geneID	chr	anticage	anticage_zone	batch	batch_zone
ENSDARG00000040245	chr1	2260415	chr1:2260265-2260565	2272232	chr1:2272082-2272382
ENSDARG00000040245	chr1	2260415	chr1:2260265-2260565	2286966	chr1:2286816-2287116
ENSDARG00000074381	chr1	2301956	chr1:2301806-2302106	2301956	chr1:2301806-2302106
ENSDARG00000078308	chr1	5273495	chr1:5273345-5273645	5273584	chr1:5273434-5273734
ENSDARG00000031164	chr1	5402583	chr1:5402433-5402733	5402583	chr1:5402433-5402733
ENSDARG00000037777	chr1	5422479	chr1:5422329-5422629	5422479	chr1:5422329-5422629
ENSDARG00000016706	chr1	5485834	chr1:5485684-5485984	5485834	chr1:5485684-5485984
ENSDARG00000063297	chr1	6135206	chr1:6135056-6135356	6135206	chr1:6135056-6135356
ENSDARG00000027078	chr1	6161992	chr1:6161842-6162142	6161992	chr1:6161842-6162142
ENSDARG00000074031	chr1	6225526	chr1:6225376-6225676	6225526	chr1:6225376-6225676
ENSDARG00000043247	chr1	6243906	chr1:6243756-6244056	6243906	chr1:6243756-6244056
ENSDARG00000025754	chr1	6646558	chr1:6646408-6646708	6646558	chr1:6646408-6646708
ENSDARG00000013741	chr1	7517463	chr1:7517313-7517613	7517459	chr1:7517309-7517609
ENSDARG00000017441	chr1	7546348	chr1:7546198-7546498	7546348	chr1:7546198-7546498
ENSDARG00000037713	chr1	7556989	chr1:7556839-7557139	7556989	chr1:7556839-7557139
ENSDARG00000098730	chr1	7679353	chr1:7679203-7679503	7679353	chr1:7679203-7679503
ENSDARG00000063003	chr1	8508617	chr1:8508467-8508767	8508617	chr1:8508467-8508767
ENSDARG00000002377	chr1	8521315	chr1:8521165-8521465	8521315	chr1:8521165-8521465
ENSDARG00000012458	chr1	8694199	chr1:8694049-8694349	8694182	chr1:8694032-8694332
ENSDARG00000058471	chr1	9153193	chr1:9153043-9153343	9153188	chr1:9153038-9153338
ENSDARG00000058471	chr1	9153193	chr1:9153043-9153343	9154989	chr1:9154839-9155139
ENSDARG00000058480	chr1	9199039	chr1:9198889-9199189	9199043	chr1:9198893-9199193
ENSDARG00000037760	chr1	9290100	chr1:9289950-9290250	9290100	chr1:9289950-9290250
ENSDARG00000008969	chr1	10051785	chr1:10051635-10051935	10051785	chr1:10051635-10051935
ENSDARG00000096594	chr1	10110204	chr1:10110054-10110354	10110207	chr1:10110057-10110357
ENSDARG00000079452	chr1	NA	chr1:NA-NA	NA	chr1:NA-NA
ENSDARG00000077533	chr1	10297043	chr1:10296893-10297193	10297043	chr1:10296893-10297193
ENSDARG00000030563	chr1	10305635	chr1:10305485-10305785	10305635	chr1:10305485-10305785
ENSDARG00000037679	chr1	10683900	chr1:10683750-10684050	10683859	chr1:10683709-10684009
ENSDARG00000037679	chr1	10684013	chr1:10683863-10684163	10683859	chr1:10683709-10684009
ENSDARG00000076833	chr1	10720212	chr1:10720062-10720362	10720212	chr1:10720062-10720362
ENSDARG00000074379	chr1	11107694	chr1:11107544-11107844	11107694	chr1:11107544-11107844
ENSDARG00000070449	chr1	11977427	chr1:11977277-11977577	11977427	chr1:11977277-11977577
ENSDARG00000070452	chr1	12049270	chr1:12049120-12049420	12049264	chr1:12049114-12049414
ENSDARG00000032808	chr1	12195724	chr1:12195574-12195874	12195718	chr1:12195568-12195868
ENSDARG00000099771	chr1	12295192	chr1:12295042-12295342	12295175	chr1:12295025-12295325
ENSDARG00000045620	chr1	12335825	chr1:12335675-12335975	12335836	chr1:12335686-12335986
ENSDARG00000045618	chr1	12348243	chr1:12348093-12348393	12348243	chr1:12348093-12348393
ENSDARG00000017985	chr1	12394241	chr1:12394091-12394391	12394241	chr1:12394091-12394391
ENSDARG00000099729	chr1	12763437	chr1:12763287-12763587	12763437	chr1:12763287-12763587
ENSDARG00000057114	chr1	14020443	chr1:14020293-14020593	14020443	chr1:14020293-14020593
ENSDARG00000104795	chr1	14253169	chr1:14253019-14253319	NA	chr1:NA-NA
ENSDARG00000022690	chr1	14406102	chr1:14405952-14406252	14406102	chr1:14405952-14406252
ENSDARG00000003398	chr1	14454679	chr1:14454529-14454829	14454679	chr1:14454529-14454829
ENSDARG00000077804	chr1	15226381	chr1:15226231-15226531	15226381	chr1:15226231-15226531
ENSDARG00000013881	chr1	15258714	chr1:15258564-15258864	15258714	chr1:15258564-15258864
ENSDARG00000078854	chr1	16073885	chr1:16073735-16074035	16073888	chr1:16073738-16074038
ENSDARG00000017119	chr1	16463090	chr1:16462940-16463240	16463102	chr1:16462952-16463252
ENSDARG00000034105	chr1	16600675	chr1:16600525-16600825	16573973	chr1:16573823-16574123
ENSDARG00000034105	chr1	16600675	chr1:16600525-16600825	16600711	chr1:16600561-16600861
ENSDARG00000062198	chr1	16621326	chr1:16621176-16621476	16621324	chr1:16621174-16621474
ENSDARG00000017591	chr1	17376920	chr1:17376770-17377070	17376920	chr1:17376770-17377070
ENSDARG00000017905	chr1	17527347	chr1:17527197-17527497	17527350	chr1:17527200-17527500
ENSDARG00000056400	chr1	17593486	chr1:17593336-17593636	17593486	chr1:17593336-17593636
ENSDARG00000027355	chr1	17676746	chr1:17676596-17676896	17676746	chr1:17676596-17676896
ENSDARG00000056376	chr1	17695478	chr1:17695328-17695628	17695480	chr1:17695330-17695630
ENSDARG00000056163	chr1	NA	chr1:NA-NA	NA	chr1:NA-NA
ENSDARG00000062055	chr1	18863096	chr1:18862946-18863246	18863103	chr1:18862953-18863253
ENSDARG00000074275	chr1	18965816	chr1:18965666-18965966	18965663	chr1:18965513-18965813
ENSDARG00000006392	chr1	19083532	chr1:19083382-19083682	19083532	chr1:19083382-19083682
ENSDARG00000073902	chr1	19094570	chr1:19094420-19094720	19094570	chr1:19094420-19094720
ENSDARG00000086957	chr1	19303248	chr1:19303098-19303398	19303229	chr1:19303079-19303379
ENSDARG00000056151	chr1	19332838	chr1:19332688-19332988	19332839	chr1:19332689-19332989
ENSDARG00000003631	chr1	19432992	chr1:19432842-19433142	19432984	chr1:19432834-19433134
ENSDARG00000017744	chr1	19538299	chr1:19538149-19538449	19538305	chr1:19538155-19538455
ENSDARG00000061936	chr1	19602386	chr1:19602236-19602536	19602403	chr1:19602253-19602553
ENSDARG00000037484	chr1	19649526	chr1:19649376-19649676	19649526	chr1:19649376-19649676
ENSDARG00000077648	chr1	19764944	chr1:19764794-19765094	19764953	chr1:19764803-19765103
ENSDARG00000079250	chr1	19808442	chr1:19808292-19808592	19808442	chr1:19808292-19808592
ENSDARG00000080019	chr1	19849180	chr1:19849030-19849330	19849180	chr1:19849030-19849330
ENSDARG00000070266	chr1	20635266	chr1:20635116-20635416	20635240	chr1:20635090-20635390
ENSDARG00000037410	chr1	21309397	chr1:21309247-21309547	21309397	chr1:21309247-21309547
ENSDARG00000033273	chr1	21563306	chr1:21563156-21563456	21563312	chr1:21563162-21563462
ENSDARG00000061504	chr1	21937202	chr1:21937052-21937352	21937202	chr1:21937052-21937352
ENSDARG00000016470	chr1	22654892	chr1:22654742-22655042	22654878	chr1:22654728-22655028
ENSDARG00000012672	chr1	22851724	chr1:22851574-22851874	22851746	chr1:22851596-22851896
ENSDARG00000022845	chr1	23274728	chr1:23274578-23274878	23274728	chr1:23274578-23274878
ENSDARG00000013505	chr1	23311757	chr1:23311607-23311907	23311721	chr1:23311571-23311871
ENSDARG00000061451	chr1	23372582	chr1:23372432-23372732	23372568	chr1:23372418-23372718
ENSDARG00000092290	chr1	23489240	chr1:23489090-23489390	23489244	chr1:23489094-23489394
ENSDARG00000070109	chr1	23559479	chr1:23559329-23559629	23559476	chr1:23559326-23559626
ENSDARG00000015266	chr1	24076270	chr1:24076120-24076420	24076270	chr1:24076120-24076420
ENSDARG00000035692	chr1	24355524	chr1:24355374-24355674	24355524	chr1:24355374-24355674
ENSDARG00000090822	chr1	24376395	chr1:24376245-24376545	24376395	chr1:24376245-24376545
ENSDARG00000061021	chr1	24469403	chr1:24469253-24469553	24469403	chr1:24469253-24469553
ENSDARG00000054334	chr1	24557452	chr1:24557302-24557602	24557452	chr1:24557302-24557602
ENSDARG00000074451	chr1	25178118	chr1:25177968-25178268	25178132	chr1:25177982-25178282
ENSDARG00000079434	chr1	25218272	chr1:25218122-25218422	25218272	chr1:25218122-25218422
ENSDARG00000037283	chr1	25650959	chr1:25650809-25651109	25650959	chr1:25650809-25651109
ENSDARG00000037278	chr1	25696808	chr1:25696658-25696958	25696808	chr1:25696658-25696958
ENSDARG00000006427	chr1	25848508	chr1:25848358-25848658	25848616	chr1:25848466-25848766
ENSDARG00000006427	chr1	25848616	chr1:25848466-25848766	25848616	chr1:25848466-25848766
ENSDARG00000054031	chr1	26071870	chr1:26071720-26072020	26071851	chr1:26071701-26072001
ENSDARG00000037259	chr1	26099261	chr1:26099111-26099411	26099261	chr1:26099111-26099411
ENSDARG00000037261	chr1	26111003	chr1:26110853-26111153	26110992	chr1:26110842-26111142
ENSDARG00000076928	chr1	26356370	chr1:26356220-26356520	26356370	chr1:26356220-26356520
ENSDARG00000014790	chr1	26445004	chr1:26444854-26445154	26444749	chr1:26444599-26444899
ENSDARG00000014790	chr1	26445004	chr1:26444854-26445154	26445041	chr1:26444891-26445191
ENSDARG00000019581	chr1	26467072	chr1:26466922-26467222	26467072	chr1:26466922-26467222
ENSDARG00000005210	chr1	NA	chr1:NA-NA	26605030	chr1:26604880-26605180
ENSDARG00000005210	chr1	NA	chr1:NA-NA	26605229	chr1:26605079-26605379
ENSDARG00000005210	chr1	NA	chr1:NA-NA	26622238	chr1:26622088-26622388
ENSDARG00000005210	chr1	26605229	chr1:26605079-26605379	26605030	chr1:26604880-26605180
ENSDARG00000005210	chr1	26605229	chr1:26605079-26605379	26605229	chr1:26605079-26605379
ENSDARG00000005210	chr1	26605229	chr1:26605079-26605379	26622238	chr1:26622088-26622388
ENSDARG00000096667	chr1	26667890	chr1:26667740-26668040	26667999	chr1:26667849-26668149
ENSDARG00000096554	chr1	26676763	chr1:26676613-26676913	26676759	chr1:26676609-26676909
ENSDARG00000006621	chr1	27808917	chr1:27808767-27809067	27808917	chr1:27808767-27809067
ENSDARG00000069996	chr1	27868305	chr1:27868155-27868455	27868302	chr1:27868152-27868452
ENSDARG00000100083	chr1	27977435	chr1:27977285-27977585	27977390	chr1:27977240-27977540
ENSDARG00000104710	chr1	28089714	chr1:28089564-28089864	28089707	chr1:28089557-28089857
ENSDARG00000053500	chr1	29068652	chr1:29068502-29068802	29068632	chr1:29068482-29068782
ENSDARG00000053502	chr1	29096888	chr1:29096738-29097038	NA	chr1:NA-NA
ENSDARG00000037100	chr1	29141031	chr1:29140881-29141181	29141010	chr1:29140860-29141160
ENSDARG00000078546	chr1	29183960	chr1:29183810-29184110	29184004	chr1:29183854-29184154
ENSDARG00000037099	chr1	29211503	chr1:29211353-29211653	29211546	chr1:29211396-29211696
ENSDARG00000061732	chr1	29664352	chr1:29664202-29664502	29664352	chr1:29664202-29664502
ENSDARG00000037177	chr1	29766723	chr1:29766573-29766873	29766723	chr1:29766573-29766873
ENSDARG00000003866	chr1	29798144	chr1:29797994-29798294	29798144	chr1:29797994-29798294
ENSDARG00000037178	chr1	29858031	chr1:29857881-29858181	29858031	chr1:29857881-29858181
ENSDARG00000028982	chr1	29862092	chr1:29861942-29862242	29862092	chr1:29861942-29862242
ENSDARG00000042688	chr1	30723412	chr1:30723262-30723562	30723412	chr1:30723262-30723562
ENSDARG00000042688	chr1	30723412	chr1:30723262-30723562	NA	chr1:NA-NA
ENSDARG00000019715	chr1	30946244	chr1:30946094-30946394	30946228	chr1:30946078-30946378
ENSDARG00000069946	chr1	31019187	chr1:31019037-31019337	31019170	chr1:31019020-31019320
ENSDARG00000093358	chr1	NA	chr1:NA-NA	NA	chr1:NA-NA
ENSDARG00000053269	chr1	31573255	chr1:31573105-31573405	31573255	chr1:31573105-31573405
ENSDARG00000039613	chr1	31657862	chr1:31657712-31658012	31657862	chr1:31657712-31658012
ENSDARG00000029751	chr1	31674276	chr1:31674126-31674426	31674276	chr1:31674126-31674426
ENSDARG00000078733	chr1	31725162	chr1:31725012-31725312	31725162	chr1:31725012-31725312
ENSDARG00000053248	chr1	31864476	chr1:31864326-31864626	31864476	chr1:31864326-31864626
ENSDARG00000079455	chr1	32521589	chr1:32521439-32521739	NA	chr1:NA-NA
ENSDARG00000060716	chr1	33217926	chr1:33217776-33218076	33217926	chr1:33217776-33218076
ENSDARG00000002190	chr1	33558585	chr1:33558435-33558735	33558585	chr1:33558435-33558735
ENSDARG00000079350	chr1	33647683	chr1:33647533-33647833	33647683	chr1:33647533-33647833
ENSDARG00000012763	chr1	33668245	chr1:33668095-33668395	33668245	chr1:33668095-33668395
ENSDARG00000032056	chr1	34203897	chr1:34203747-34204047	34203894	chr1:34203744-34204044
ENSDARG00000053542	chr1	34295926	chr1:34295776-34296076	34295926	chr1:34295776-34296076
ENSDARG00000058287	chr1	34685452	chr1:34685302-34685602	34685452	chr1:34685302-34685602
ENSDARG00000069910	chr1	34695379	chr1:34695229-34695529	34695377	chr1:34695227-34695527
ENSDARG00000075798	chr1	35473386	chr1:35473236-35473536	35473386	chr1:35473236-35473536
ENSDARG00000037018	chr1	35494830	chr1:35494680-35494980	35494830	chr1:35494680-35494980
ENSDARG00000060397	chr1	35790083	chr1:35789933-35790233	35790083	chr1:35789933-35790233
ENSDARG00000060397	chr1	35790083	chr1:35789933-35790233	35790639	chr1:35790489-35790789
ENSDARG00000060383	chr1	35956460	chr1:35956310-35956610	35956470	chr1:35956320-35956620
ENSDARG00000037002	chr1	NA	chr1:NA-NA	NA	chr1:NA-NA
ENSDARG00000036995	chr1	36194776	chr1:36194626-36194926	36194776	chr1:36194626-36194926
ENSDARG00000011876	chr1	36665544	chr1:36665394-36665694	36665542	chr1:36665392-36665692
ENSDARG00000078789	chr1	36722092	chr1:36721942-36722242	36722092	chr1:36721942-36722242
ENSDARG00000078326	chr1	36771976	chr1:36771826-36772126	36771976	chr1:36771826-36772126
ENSDARG00000034093	chr1	37195893	chr1:37195743-37196043	37195893	chr1:37195743-37196043
ENSDARG00000102787	chr1	37312576	chr1:37312426-37312726	37312577	chr1:37312427-37312727
ENSDARG00000057303	chr1	38142774	chr1:38142624-38142924	38142764	chr1:38142614-38142914
ENSDARG00000089976	chr1	38818301	chr1:38818151-38818451	38818294	chr1:38818144-38818444
ENSDARG00000005479	chr1	39552911	chr1:39552761-39553061	39552911	chr1:39552761-39553061
ENSDARG00000007387	chr1	39865694	chr1:39865544-39865844	NA	chr1:NA-NA
ENSDARG00000007387	chr1	39865694	chr1:39865544-39865844	39865694	chr1:39865544-39865844
ENSDARG00000104437	chr1	39995055	chr1:39994905-39995205	39995055	chr1:39994905-39995205
ENSDARG00000020857	chr1	40034043	chr1:40033893-40034193	40034054	chr1:40033904-40034204
ENSDARG00000076585	chr1	40107824	chr1:40107674-40107974	40107802	chr1:40107652-40107952
ENSDARG00000031435	chr1	40263725	chr1:40263575-40263875	40263725	chr1:40263575-40263875
ENSDARG00000087333	chr1	40567039	chr1:40566889-40567189	40567039	chr1:40566889-40567189
ENSDARG00000030368	chr1	40613298	chr1:40613148-40613448	40613298	chr1:40613148-40613448
ENSDARG00000117450	chr1	40683521	chr1:40683371-40683671	40683521	chr1:40683371-40683671
ENSDARG00000033604	chr1	41131542	chr1:41131392-41131692	41131542	chr1:41131392-41131692
ENSDARG00000008706	chr1	41465753	chr1:41465603-41465903	41465753	chr1:41465603-41465903
ENSDARG00000075639	chr1	41487376	chr1:41487226-41487526	41487367	chr1:41487217-41487517
ENSDARG00000078016	chr1	41498191	chr1:41498041-41498341	41498191	chr1:41498041-41498341
ENSDARG00000075194	chr1	41596121	chr1:41595971-41596271	41596121	chr1:41595971-41596271
ENSDARG00000060252	chr1	41609280	chr1:41609130-41609430	41609232	chr1:41609082-41609382
ENSDARG00000036967	chr1	41849302	chr1:41849152-41849452	41849302	chr1:41849152-41849452
ENSDARG00000024785	chr1	42225167	chr1:42225017-42225317	42225167	chr1:42225017-42225317
ENSDARG00000024785	chr1	42225167	chr1:42225017-42225317	NA	chr1:NA-NA
ENSDARG00000024785	chr1	42225167	chr1:42225017-42225317	42463250	chr1:42463100-42463400
ENSDARG00000024785	chr1	42463262	chr1:42463112-42463412	42225167	chr1:42225017-42225317
ENSDARG00000024785	chr1	42463262	chr1:42463112-42463412	NA	chr1:NA-NA
ENSDARG00000024785	chr1	42463262	chr1:42463112-42463412	42463250	chr1:42463100-42463400
ENSDARG00000052703	chr1	43686330	chr1:43686180-43686480	43686346	chr1:43686196-43686496
ENSDARG00000078233	chr1	44172999	chr1:44172849-44173149	44173030	chr1:44172880-44173180
ENSDARG00000078233	chr1	44172999	chr1:44172849-44173149	44173250	chr1:44173100-44173400
ENSDARG00000078233	chr1	44172999	chr1:44172849-44173149	44222536	chr1:44222386-44222686
ENSDARG00000078233	chr1	44173250	chr1:44173100-44173400	44173030	chr1:44172880-44173180
ENSDARG00000078233	chr1	44173250	chr1:44173100-44173400	44173250	chr1:44173100-44173400
ENSDARG00000078233	chr1	44173250	chr1:44173100-44173400	44222536	chr1:44222386-44222686
ENSDARG00000069116	chr1	44390568	chr1:44390418-44390718	NA	chr1:NA-NA
ENSDARG00000069116	chr1	44390568	chr1:44390418-44390718	44390568	chr1:44390418-44390718
ENSDARG00000016793	chr1	44439658	chr1:44439508-44439808	44439658	chr1:44439508-44439808
ENSDARG00000016263	chr1	44523525	chr1:44523375-44523675	44523525	chr1:44523375-44523675
ENSDARG00000009472	chr1	44582370	chr1:44582220-44582520	44582370	chr1:44582220-44582520
ENSDARG00000016994	chr1	44710963	chr1:44710813-44711113	NA	chr1:NA-NA
ENSDARG00000051986	chr1	44814348	chr1:44814198-44814498	44814348	chr1:44814198-44814498
ENSDARG00000059653	chr1	44838691	chr1:44838541-44838841	44838691	chr1:44838541-44838841
ENSDARG00000094133	chr1	44906571	chr1:44906421-44906721	44906604	chr1:44906454-44906754
ENSDARG00000031836	chr1	44949817	chr1:44949667-44949967	44949817	chr1:44949667-44949967
ENSDARG00000030972	chr1	45003048	chr1:45002898-45003198	45003020	chr1:45002870-45003170
ENSDARG00000051965	chr1	45056437	chr1:45056287-45056587	45056410	chr1:45056260-45056560
ENSDARG00000026068	chr1	45663752	chr1:45663602-45663902	45663754	chr1:45663604-45663904
ENSDARG00000002285	chr1	45671778	chr1:45671628-45671928	45671756	chr1:45671606-45671906
ENSDARG00000069595	chr1	45707199	chr1:45707049-45707349	45707199	chr1:45707049-45707349
ENSDARG00000060184	chr1	45754954	chr1:45754804-45755104	45754954	chr1:45754804-45755104
ENSDARG00000008279	chr1	45839936	chr1:45839786-45840086	45839936	chr1:45839786-45840086
ENSDARG00000016548	chr1	45925383	chr1:45925233-45925533	45925389	chr1:45925239-45925539
ENSDARG00000073848	chr1	45958933	chr1:45958783-45959083	45958933	chr1:45958783-45959083
ENSDARG00000073848	chr1	45958933	chr1:45958783-45959083	45969224	chr1:45969074-45969374
ENSDARG00000073848	chr1	45969220	chr1:45969070-45969370	45958933	chr1:45958783-45959083
ENSDARG00000073848	chr1	45969220	chr1:45969070-45969370	45969224	chr1:45969074-45969374
ENSDARG00000008131	chr1	46194297	chr1:46194147-46194447	46194297	chr1:46194147-46194447
ENSDARG00000029133	chr1	46405338	chr1:46405188-46405488	46405338	chr1:46405188-46405488
ENSDARG00000036658	chr1	46598822	chr1:46598672-46598972	46598525	chr1:46598375-46598675
ENSDARG00000036658	chr1	46598822	chr1:46598672-46598972	46598827	chr1:46598677-46598977
ENSDARG00000036587	chr1	47165840	chr1:47165690-47165990	47165840	chr1:47165690-47165990
ENSDARG00000043271	chr1	47178534	chr1:47178384-47178684	47178623	chr1:47178473-47178773
ENSDARG00000036687	chr1	47331645	chr1:47331495-47331795	47331647	chr1:47331497-47331797
ENSDARG00000015559	chr1	47459757	chr1:47459607-47459907	47459757	chr1:47459607-47459907
ENSDARG00000007734	chr1	47499898	chr1:47499748-47500048	47499898	chr1:47499748-47500048
ENSDARG00000036008	chr1	49266944	chr1:49266794-49267094	49266969	chr1:49266819-49267119
ENSDARG00000008886	chr1	49352936	chr1:49352786-49353086	49352936	chr1:49352786-49353086
ENSDARG00000018325	chr1	49415335	chr1:49415185-49415485	49415335	chr1:49415185-49415485
ENSDARG00000052480	chr1	49435046	chr1:49434896-49435196	49435045	chr1:49434895-49435195
ENSDARG00000069415	chr1	49568360	chr1:49568210-49568510	49568360	chr1:49568210-49568510
ENSDARG00000031894	chr1	49814527	chr1:49814377-49814677	49814527	chr1:49814377-49814677
ENSDARG00000036494	chr1	49951739	chr1:49951589-49951889	49951750	chr1:49951600-49951900
ENSDARG00000060036	chr1	50294000	chr1:50293850-50294150	50294000	chr1:50293850-50294150
ENSDARG00000014098	chr1	50538818	chr1:50538668-50538968	50538821	chr1:50538671-50538971
ENSDARG00000030703	chr1	50921267	chr1:50921117-50921417	50921267	chr1:50921117-50921417
ENSDARG00000017772	chr1	50977077	chr1:50976927-50977227	50977077	chr1:50976927-50977227
ENSDARG00000004427	chr1	51039608	chr1:51039458-51039758	51039595	chr1:51039445-51039745
ENSDARG00000005544	chr1	51191048	chr1:51190898-51191198	51191048	chr1:51190898-51191198
ENSDARG00000005544	chr1	51191048	chr1:51190898-51191198	51191269	chr1:51191119-51191419
ENSDARG00000005544	chr1	NA	chr1:NA-NA	51191048	chr1:51190898-51191198
ENSDARG00000005544	chr1	NA	chr1:NA-NA	51191269	chr1:51191119-51191419
ENSDARG00000061629	chr1	51221301	chr1:51221151-51221451	51221301	chr1:51221151-51221451
ENSDARG00000052438	chr1	51407506	chr1:51407356-51407656	51407491	chr1:51407341-51407641
ENSDARG00000002937	chr1	51479134	chr1:51478984-51479284	51479131	chr1:51478981-51479281
ENSDARG00000074915	chr1	51537233	chr1:51537083-51537383	51537233	chr1:51537083-51537383
ENSDARG00000096566	chr1	51615673	chr1:51615523-51615823	51615673	chr1:51615523-51615823
ENSDARG00000025350	chr1	51721894	chr1:51721744-51722044	51721894	chr1:51721744-51722044
ENSDARG00000010442	chr1	52130160	chr1:52130010-52130310	52130160	chr1:52130010-52130310
ENSDARG00000018190	chr1	52137662	chr1:52137512-52137812	52137662	chr1:52137512-52137812
ENSDARG00000095434	chr1	52392457	chr1:52392307-52392607	52392457	chr1:52392307-52392607
ENSDARG00000036415	chr1	52462105	chr1:52461955-52462255	52462104	chr1:52461954-52462254
ENSDARG00000052386	chr1	52481308	chr1:52481158-52481458	52481308	chr1:52481158-52481458
ENSDARG00000074635	chr1	52560572	chr1:52560422-52560722	52560572	chr1:52560422-52560722
ENSDARG00000015946	chr1	52633197	chr1:52633047-52633347	52633365	chr1:52633215-52633515
ENSDARG00000015946	chr1	52633371	chr1:52633221-52633521	52633365	chr1:52633215-52633515
ENSDARG00000052348	chr1	52792440	chr1:52792290-52792590	52792440	chr1:52792290-52792590
ENSDARG00000075201	chr1	52999797	chr1:52999647-52999947	52999823	chr1:52999673-52999973
ENSDARG00000075201	chr1	52999797	chr1:52999647-52999947	53007787	chr1:53007637-53007937
ENSDARG00000023151	chr1	53374480	chr1:53374330-53374630	53374479	chr1:53374329-53374629
ENSDARG00000010078	chr1	53919135	chr1:53918985-53919285	53919160	chr1:53919010-53919310
ENSDARG00000036371	chr1	53945991	chr1:53945841-53946141	53945991	chr1:53945841-53946141
ENSDARG00000010791	chr1	54013456	chr1:54013306-54013606	54013456	chr1:54013306-54013606
ENSDARG00000077790	chr1	54069456	chr1:54069306-54069606	54069456	chr1:54069306-54069606
ENSDARG00000078138	chr1	54638821	chr1:54638671-54638971	54638821	chr1:54638671-54638971
ENSDARG00000077721	chr1	54683697	chr1:54683547-54683847	54683697	chr1:54683547-54683847
ENSDARG00000033666	chr1	54737357	chr1:54737207-54737507	54737357	chr1:54737207-54737507
ENSDARG00000059835	chr1	54889786	chr1:54889636-54889936	54889786	chr1:54889636-54889936
ENSDARG00000089243	chr1	54948122	chr1:54947972-54948272	54948122	chr1:54947972-54948272
ENSDARG00000069249	chr1	55095304	chr1:55095154-55095454	55095311	chr1:55095161-55095461
ENSDARG00000031952	chr1	55137944	chr1:55137794-55138094	55137944	chr1:55137794-55138094
ENSDARG00000025904	chr1	55752676	chr1:55752526-55752826	55752676	chr1:55752526-55752826
ENSDARG00000025904	chr1	55752676	chr1:55752526-55752826	55755318	chr1:55755168-55755468
ENSDARG00000025904	chr1	55755318	chr1:55755168-55755468	55752676	chr1:55752526-55752826
ENSDARG00000025904	chr1	55755318	chr1:55755168-55755468	55755318	chr1:55755168-55755468
ENSDARG00000068182	chr1	56180460	chr1:56180310-56180610	56180460	chr1:56180310-56180610
ENSDARG00000043431	chr1	57347915	chr1:57347765-57348065	57347915	chr1:57347765-57348065
ENSDARG00000096615	chr1	NA	chr1:NA-NA	NA	chr1:NA-NA
ENSDARG00000096528	chr1	58609036	chr1:58608886-58609186	58609035	chr1:58608885-58609185
ENSDARG00000105176	chr1	58621011	chr1:58620861-58621161	NA	chr1:NA-NA
ENSDARG00000105176	chr1	58621011	chr1:58620861-58621161	58621011	chr1:58620861-58621161
ENSDARG00000017255	chr1	58840890	chr1:58840740-58841040	58840890	chr1:58840740-58841040
ENSDARG00000100264	chr1	58982030	chr1:58981880-58982180	58981999	chr1:58981849-58982149
ENSDARG00000100264	chr1	58982030	chr1:58981880-58982180	58982197	chr1:58982047-58982347
ENSDARG00000099301	chr1	59007374	chr1:59007224-59007524	59007374	chr1:59007224-59007524
ENSDARG00000099301	chr1	59007374	chr1:59007224-59007524	59007585	chr1:59007435-59007735
